"","Player","InternationalBowlersRating"
"994","Shahzaib Hasan",0
"995","Shaiman Anwar",0
"996","Shakeel Ansar",0
"997","Shamsur Rahman",0
"998","JNK Shannon",0
"999","Sharjeel Khan",0
"1000","V Shetty",0
"1001","Shoaib Khan jnr",0
"1002","L Siaka",0
"1003","V Sibanda",0
"1004","Sikander Zulfiqar",0
"1005","MS Sinclair",0
"1006","CJO Smith",0
"1007","DS Smith",0
"1008","SJS Smith",0
"1009","J Smits",0
"1010","VS Solanki",0
"1011","L Sreekumar",0
"1012","AJ Strauss",0
"1013","R Strydom",0
"1014","Sultan Ahmed",0
"1015","ZE Surkari",0
"1016","ES Szwarczynski",0
"1017","Tamim Iqbal",0
"1018","LRPL Taylor",0
"1019","SP Terry",0
"1020","WU Tharanga",0
"1021","HDRL Thirimanne",0
"1022","DC Thomas",0
"1023","GJ Thompson",0
"1024","MK Tiwary",0
"1025","ME Trescothick",0
"1026","IJL Trott",0
"1027","L Tucker",0
"1028","ML Udawatte",0
"1029","Umar Akmal",0
"1030","Umar Amin",0
"1031","TP Ura",0
"1032","Usman Ghani",0
"1033","Usman Limbada",0
"1034","Usman Mushtaq",0
"1035","RV Uthappa",0
"1036","VB van Jaarsveld",0
"1037","MN van Wyk",0
"1038","JNT Vare",0
"1039","MP Vaughan",0
"1040","S Vesawkar",0
"1041","DJ Vilas",0
"1042","JM Vince",0
"1043","L Vincent",0
"1044","TP Visee",0
"1045","KDK Vithanage",0
"1046","MS Wade",0
"1047","CD Wallace",0
"1048","CAK Walton",0
"1049","DA Warner",0
"1050","VS Wategaonkar",0
"1051","BJ Watling",0
"1052","DF Watts",0
"1053","GC Wilson",0
"1054","Zeeshan Siddiqui",0
"1055","B Zuiderent",0
"1056","Zulqarnain Haider",0
