Player,BatsmenRating
CA Ingram,2
PD Collingwood,4
AD Mathews,3
SS Sarkar,1
S Gopal,1
SP Narine,1
KK Cooper,1
SL Malinga,1
AA Noffke,2
Joginder Sharma,1
S Sreesanth,1
RR Sarwan,3
NK Patel,2
Anand Rajan,1
Ishan Kishan,1
L Ronchi,1
Z Khan,1
RR Bhatkal,1
D Kalyankrishna,1
TM Srivastava,1
SM Harwood,1
MS Gony,1
NLTC Perera,2
RS Bopara,4
AA Bilakhia,2
UT Khawaja,4
DS Lehmann,2
LA Pomersbach,3
C Madan,3
MS Bisla,3
Yashpal Singh,1
GR Napier,3
NJ Rimmington,1
JD Unadkat,1
RR Rossouw,2
RR Powar,1
AS Raut,2
DPMD Jayawardene,4
DR Martyn,3
AG Murtaza,1
I Sharma,1
MV Boucher,2
Swapnil Singh,1
BR Dunk,2
BB Samantray,3
VS Malik,1
RS Gavaskar,1
AP Dole,2
TL Suman,3
KP Appanna,1
Sandeep Sharma,1
GJ Bailey,3
PJ Cummins,1
MA Khote,1
A Nehra,1
M Vohra,3
S Vidyut,3
DJ Hooda,2
PSP Handscomb,1
AN Ahmed,1
SK Trivedi,1
N Saini,3
A Kumble,1
CA Pujara,2
Shoaib Malik,2
S Dhawan,4
RS Sodhi,1
L Ablish,1
ER Dwivedi,1
GS Sandhu,1
MDKJ Perera,2
RE Levi,2
GC Smith,4
B Kumar,1
SB Joshi,1
DNT Zoysa,1
R Dravid,4
PA Patel,3
SV Samson,3
NV Ojha,2
BB Sran,1
CH Morris,1
T Kohli,1
S Kaushik,1
SS Mundhe,1
PP Ojha,1
VS Yeligati,1
Kamran Akmal,4
RV Uthappa,4
R Ninan,1
YV Takawale,2
LR Shukla,2
JW Hastings,1
SMSM Senanayake,1
DJ Bravo,2
MK Pandey,3
KW Richardson,1
SD Chitnis,2
RV Gomez,1
S Randiv,1
S Chanderpaul,2
VY Mahesh,1
TA Boult,1
B Lee,1
M Klinger,3
KMDN Kulasekara,1
K Santokie,1
D Salunkhe,1
P Kumar,1
A Mishra,1
GD McGrath,1
T Taibu,2
Harbhajan Singh,1
SS Shaikh,1
RJ Peterson,1
A Chopra,2
HH Gibbs,4
IK Pathan,2
H Das,1
STR Binny,2
JO Holder,1
S Badrinath,3
R Rampaul,1
SA Abbott,2
A Flintoff,3
SJ Srivastava,1
JE Taylor,1
J Yadav,1
Shakib Al Hasan,2
B Chipli,2
LJ Wright,3
AC Gilchrist,4
PA Reddy,2
DT Patil,1
BA Bhatt,1
TD Paine,1
D Wiese,2
KC Sangakkara,4
CRD Fernando,1
FH Edwards,1
T Henderson,1
R Sathish,2
NM Coulter-Nile,1
N Rana,1
SE Marsh,5
I Malhotra,2
DL Vettori,1
RN ten Doeschate,2
DB Das,2
KJ Abbott,1
KP Pietersen,5
S Tyagi,1
Gurkeerat Singh,2
M Morkel,1
JP Duminy,4
S Aravind,1
VH Zol,2
GB Hogg,1
RJ Quiney,3
Salman Butt,4
PV Tambe,1
JDP Oram,1
SM Pollock,2
A Mukund,1
DJ Thornely,1
J Arunkumar,2
AP Tare,2
KAJ Roach,1
S Sohal,3
AD Russell,3
DP Nannes,1
MJ Lumb,4
R Sharma,1
RJ Harris,1
Iqbal Abdulla,1
T Shamsi,1
SPD Smith,3
Mustafizur Rahman,1
L Balaji,1
JJ van der Wath,1
R Shukla,1
AA Jhunjhunwala,2
P Dogra,2
SP Fleming,3
CJ Anderson,3
A Mithun,1
BB McCullum,4
Pankaj Singh,1
S Narwal,1
AB Barath,3
KH Pandya,2
M Ntini,1
Sunny Gupta,1
SB Wagh,1
AM Nayar,2
PP Chawla,1
DJ Harris,5
SA Asnodkar,4
A Chandila,1
Mashrafe Mortaza,1
Shoaib Ahmed,1
JJ Bumrah,1
U Kaul,1
CR Brathwaite,2
Younis Khan,1
Abdur Razzak,1
B Geeves,1
Parvez Rasool,1
R Ashwin,1
J Syed Mohammad,1
SN Khan,2
AC Blizzard,3
AB Dinda,1
LRPL Taylor,3
Shahid Afridi,2
PC Valthaty,4
MN van Wyk,5
D du Preez,1
DA Warner,5
PR Shah,1
SW Tait,1
SB Jakati,1
UBT Chand,3
SP Goswami,2
Mandeep Singh,2
KK Nair,3
MC Henriques,2
S Badree,1
AS Rajpoot,1
JDS Neesham,2
J Theron,1
DS Kulkarni,1
VRV Singh,1
OA Shah,4
W Jaffer,3
AP Majumdar,4
MS Wade,2
YK Pathan,3
R Vinay Kumar,1
TM Head,1
BJ Haddin,3
BE Hendricks,1
BAW Mendis,1
UT Yadav,1
NJ Maddinson,1
MA Agarwal,3
Q de Kock,5
